ID	Parent_ID	SampleType	NCBITaxonomy	Type	NCBIRank	Group_Size	Interventions	Community_composition
367928	1680	G000010425 | Bifidobacterium adolescentis ATCC 15703	strain			197	4DDT, 4DDE, 4DDD, endosulfan, dichlorvos, mirex, chlopyriphos, malathion, malaoxon, methylparathion, monocrotophos, permethrin, cyhalothrin, cypermethrin, deltamethrin, atrazine, azoxystrobin, fipronil	
411459	40520	G000153905 | Blautia obeum ATCC 29174	strain			0		
411460	33039	G000153925 | Ruminococcus torques ATCC 27756	strain			1	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
411461	39486	G000169235 | Dorea formicigenerans ATCC 27755	strain			391	4DDT, 4DDE, 4DDD, endosulfan, dichlorvos, mirex, chlopyriphos, malathion, malaoxon, methylparathion, monocrotophos, permethrin, cyhalothrin, cypermethrin, deltamethrin, atrazine, azoxystrobin, fipronil	
411462	88431	G000154065 | Dorea longicatena DSM 13814	strain			5	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
411463	39496	G000153885 | Eubacterium ventriosum ATCC 27560	strain			5		
411464	901	G000156375 | Desulfovibrio piger ATCC 29098	strain			0		
411468	29347	G000154505 | Clostridium scindens ATCC 35704	strain			395	bile acids	
411469	39488	G000173975 | Anaerobutyricum hallii DSM 3353	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
411470	33038	G025152275 | Mediterraneibacter gnavus ATCC 29149	strain			8		
411471	214851	G000157955 | Subdoligranulum variabile DSM 15176	strain			0		
411474	33043	G000154425 | Coprococcus eutactus ATCC 27759	strain			14	TCA, TLCA, TCDCA, TDCA, 2-aminophenol	
411476	28116	G000154125 | Bacteroides ovatus ATCC 8483	strain			417	bile acids	
411477	46503	G000154105 | Parabacteroides merdae ATCC 43184	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
411479	820	G000154205 | Bacteroides uniformis ATCC 8492	strain			398		
411481	1680	G000010425 | Bifidobacterium adolescentis L2-32	strain			4	bile acids	
411490	105841	G000154305 | Anaerostipes caccae L1-92	strain			5		
411901	47678	G000169015 | Bacteroides caccae ATCC 43185	strain			397	4DDT, 4DDE, 4DDD, endosulfan, dichlorvos, mirex, chlopyriphos, malathion, malaoxon, methylparathion, monocrotophos, permethrin, cyhalothrin, cypermethrin, deltamethrin, atrazine, azoxystrobin, fipronil	
411902	208479	G000154365 | Enterocloster bolteae ATCC BAA-613	strain			783		
411903	74426	G000169035 | Collinsella aerofaciens ATCC 25986	strain			9	bile acids	
428125	1535	G000154345 | Clostridium leptum DSM 753	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
428126	29348	G000154805 | Thomasclavelia spiroformis DSM 1552	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
428127	31971	G000154285 | Amedibacillus dolichus DSM 3991	strain			0		
428128	39492	G000382085 | Eubacterium siraeum DSM 15702	strain			3		
435590	821	G000012825 | Phocaeicola vulgatus ATCC 8482	strain			410	bile acids	
435591	823	G000012845 | Parabacteroides distasonis ATCC 8503	strain			20	UDCA, asparagine	
435832	488	G000186165 | Neisseria mucosa C102	strain			4		
445970	28117	G000154465 | Alistipes putredinis DSM 17216	strain			1	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
445971	214853	G000154825 | Anaerofustis stercorihominis DSM 17244	strain			0		
445972	169435	G000154565 | Anaerotruncus colihominis DSM 17241	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
445973	261299	G000154445 | Intestinibacter bartlettii DSM 16795	strain			18	UDCA, asparagine	
445975	147206	G000156215 | Collinsella stercoris DSM 13279	strain			1	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
449673	46506	G000154525 | Bacteroides stercoris ATCC 43183	strain			393	4DDT, 4DDE, 4DDD, endosulfan, dichlorvos, mirex, chlopyriphos, malathion, malaoxon, methylparathion, monocrotophos, permethrin, cyhalothrin, cypermethrin, deltamethrin, atrazine, azoxystrobin, fipronil	
451640	100886	G025148785 | Catenibacterium mitsuokai DSM 15897	strain			5	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
457424	817	G000157015 | Bacteroides fragilis 3_1_12	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
465515	1270	G000023205 | Micrococcus luteus NCTC 2665	strain			12	hydroxocobalamine	
470145	310298	G000154845 | Phocaeicola coprocola DSM 17136	strain			12	TCA, TLCA, TCDCA, TDCA	
470146	410072	G000155875 | Coprococcus comes ATCC 27758	strain			32	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
471870	329854	G000172175 | Bacteroides intestinalis DSM 17393	strain			23	UDCA, asparagine	
471875	46228	G000155205 | Ruminococcus lactaris ATCC 29176	strain			5		
476272	53443	G000157975 | Blautia hydrogenotrophica DSM 10507	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
478749	168384	G000173815 | Marvinbryantia formatexigens DSM 14469	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
479437	84112	G000024265 | Eggerthella lenta DSM 2243	strain			409		
483215	338188	G000156195 | Bacteroides finegoldii DSM 17565	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
483216	28111	G000155815 | Bacteroides eggerthii DSM 20697	strain			5		
483217	357276	G000156075 | Phocaeicola dorei DSM 17855	strain			21	TCA, TLCA, TCDCA, TDCA	
483218	384638	G000434155 | Bacteroides pectinophilus ATCC 43243	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
484018	310297	G000187895 | Phocaeicola plebeius DSM 17135	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
491074	1351	G000007785 | Enterococcus faecalis TX0104	strain			4	bile acids	
500632	29361	G000431655 | Clostridium nexile DSM 1787	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
500635	52226	G000155955 | Mitsuokella multacida DSM 20544	strain			3		
511680	45851	G000156015 | Eshraghiella crossota DSM 2876	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
515619	39491	G000020605 | Agathobacter rectalis ATCC 33656	strain			5	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
515620	39485	G000146185 | Lachnospira eligens ATCC 27750	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
518634	1685	G001025175 | Bifidobacterium breve DSM 20213 = JCM 1192	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
518636	333367	G000158075 | Clostridium asparagiforme DSM 15981	strain			5		
518637	1735	G000156655 | Holdemanella biformis DSM 3989	strain			0		
525279	1352	G000174395 | Enterococcus faecium TX1330	strain			4	bile acids	
525338	337330	G000203855 | Lactiplantibacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437	strain			12	TCA, TLCA, TCDCA, TDCA	
525341	1598	G000016825 | Limosilactobacillus reuteri CF48-3A	strain			4		
525362	1623	Ligilactobacillus ruminis ATCC 25644	strain			5		
536231	166486	G000156535 | Roseburia intestinalis L1-82	strain			3		
537006	387661	G000307375 | Parabacteroides johnsonii DSM 18315	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
537007	1322	G000156675 | Blautia hansenii DSM 20583	strain			1	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
537011	165179	G000157935 | Segatella copri DSM 18205	strain			4		
537012	246787	G001318345 | Bacteroides cellulosilyticus DSM 14838	strain			6	bile acids	
537013	84026	G000158655 | Clostridium methylpentosum DSM 5476	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
545696	61171	G000157995 | Holdemania filiformis DSM 12042	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
546273	39778	G000024945 | Veillonella dispar DSM 20735	strain			12	TCA, TLCA, TCDCA, TDCA	
547042	387090	G000157915 | Phocaeicola coprophilus DSM 18228 = JCM 13818	strain			0		
547043	28026	G001025215 | Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	strain			5		
553973	89153	G000156515 | Clostridium hylemonae DSM 15053	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
556260	357276	G000158335 | Phocaeicola dorei 5_1_36/D4	strain			5		
559301	1596	G000014425 | Lactobacillus gasseri MV-22	strain			4		
566550	154046	G000160095 | Hungatella hathewayi DSM 13479	strain			5	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
566552	1686	G001025195 | Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	strain			1	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
591001	905	G000025305 | Acidaminococcus fermentans DSM 20731	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
610130	84030	G000144625 | Clostridium saccharolyticum WM1	strain			5		
622312	360807	G000174195 | Roseburia inulinivorans DSM 16841	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
633147	133926	G000143845 | Olsenella uli DSM 7084	strain			0		
638301	46124	G000160675 | Granulicatella adiacens ATCC 49175	strain			5	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
649764	84109	G000162875 | Slackia exigua ATCC 700122	strain			0		
657321	40518	G004554925 | Ruminococcus bromii L2-63	strain			18	UDCA, asparagine	
663278	253239	G000178115 | Ethanoligenens harbinense YUAN-3	strain			0		
667015	376805	G000190575 | Phocaeicola salanitronis DSM 18170	strain			4	bile acids	
679190	28127	Hoylesella buccalis ATCC 35310	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
679935	214856	G000265365 | Alistipes finegoldii DSM 17242	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
709991	28118	G000190535 | Odoribacter splanchnicus DSM 20712	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
716541	336306	G000025565 | Enterobacter cloacae subsp. cloacae DSM 30054	strain			12	TCA, TLCA, TCDCA, TDCA	
717959	328814	G025145845 | Alistipes shahii WAL 8301	strain			0		
742725	626932	G025144995 | Alistipes indistinctus YIT 12060	strain			0		
768726	1458253	G000027165 | Streptococcus mitis bv2 F0392	strain			4		
858695	1685	G001025175 | Bifidobacterium breve EX336960VC19	strain			4	bile acids	
999416	823	G000012845 | Parabacteroides distasonis CL03T12C09	strain			4		
999418	328812	G000969835 | Parabacteroides goldsteinii CL02T12C30	strain			4		
999420	46503	G000433955 | Parabacteroides merdae CL03T12C32	strain			4		
1002367	363265	G000235885 | Leyella stercorea DSM 18206	strain			4		
1033732	1288121	G000312145 | Alistipes senegalensis JC50	strain			0		
1088720	47715	G000195375 | Lacticaseibacillus rhamnosus ATCC 8530	strain			4		
1121098	204516	G000312445 | Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	strain			4	bile acids	
1121115	418240	G000153905 | Blautia wexlerae DSM 19850	strain			0		
1121130	544645	G000519105 | Butyricimonas virosa DSM 23226	strain			5		
1123075	438033	G000425525 | Ruminococcus gauvreauii DSM 19829	strain			5	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
1123263	102148	G000425005 | Solobacterium moorei DSM 22971	strain			0		
1158629	1351	G000007785 | Enterococcus faecalis EnGen0248	strain			0		
1161743	1679	G000007525 | Bifidobacterium longum subsp. longum 44B	strain			4	bile acids	
1169286	1351	G000007785 | Enterococcus faecalis DSM 20478	strain			12	TCA, TLCA, TCDCA, TDCA	
1203611	328813	G000154465 | Alistipes onderdonkii WAL 8169 = DSM 19147	strain			18	UDCA, asparagine	
1211813	1470347	G000321205 | Alistipes ihumii AP11	strain			0		
1236512	691816	G000009925 | Bacteroides rodentium DSM 26882	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
1384484	2864143	G000478885 | Adlercreutzia equolifaciens DSM 19450	strain			0		
1408428	35833	G000701705 | Bilophila wadsworthia ATCC 49260	strain			18	UDCA, asparagine	
1	-1	Root				170528		
2	1	Origin				44612		
3	2	Host				30542		
4	2	Food				433		
5	2	Environment				979		
6	2	Protein screening				328		
7	2	Microbial				9686		
8	3	Host human	9606|Homo sapiens			11736		
9	3	Host mice	10090|Mus musculus			17576		
10	3	Host pig	Sus scrofa			147		
11	3	Host Caenorhabditis elegans	6239|Caenorhabditis elegans			52		
12	3	animal				101		
13	4	Simple food				2		
14	4	Complex food				123		
15	5	Soil				738		
16	5	Ocean				0		
17	7	Defined_Community				1278		
18	17	Defined_Community_healthy				770		
19	17	Defined_Community_disease				192		
20	7	Undefined_Community				0		
21	7	Defined_monocultures				7679		
22	18	Skin_healthy				42		Corynebacterium afermentans subsp. afermentans CIP 103499; Cutibacterium acnes ATCC KPA171202; Micrococcus luteus NCTC 2665; Staphylococcus capitis subsp. capitis strain LK 499; Staphylococcus epidermidis ATCC 12228; Staphylococcus hominis subsp. hominis strain DM 122; Staphylococcus warneri AW 25; Streptococcus mitis NCTC 12261
23	18	Gut_healthy				706		
24	19	Gut_disease				192		
25	18	Urine_healthy				0		
26	18	Nasal_healthy				22		
27	17	Rhizosphere				308		
28	17	Phyllosphere				8		
29	23	Full_syncom				33		Bacteroides intestinalis DSM 17393; Catenibacterium mitsuokai DSM 15897; Clostridium asparagiforme DSM 15981; Faecalibacterium prausnitzii A2-165; Dorea longicatena DSM 13814; Bacteroides xylanisolvens DSMZ 18836; Butyricimonas virosa DSM 23226; Bacteroides fragilis 3_1_12; Bacteroides dorei DSM 17855; Bacteroides eggerthii DSM 20697; Eubacterium rectale ATCC 33656; Anaerostipes caccae DSM 14662; Clostridium bolteae ATCC BAA-613; Eubacterium ventriosum ATCC 27560; Clostridium hathewayi DSM 13479; Oscillibacter sp. KLE 1728; Bacteroides ovatus ATCC 8483; Bacteroides dorei 5_1_36/D4; Bifidobacterium pseudocatenulatum DSM 20438; Collinsella aerofaciens ATCC 25986; Clostridium saccharolyticum WM1; Lactobacillus ruminis ATCC 25644; Ruminococcus lactaris ATCC 29176; Bacteroides sp. 3_1_19; Roseburia intestinalis L1-82; Bacteroides sp. 2_1_16; Ruminococcus gauvreauii DSM 19829; Granulicatella adiacens ATCC 49175; Mitsuokella multacida DSM 20544; Bacteroides uniformis ATCC 8492; Dorea formicigenerans ATCC 27755; Blautia hansenii DSM 20583; Ruminococcus gnavus ATCC 29149; Odoribacter splanchnicus DSM 20712; Bacteroides cellulosilyticus DSM 14838; Clostridium scindens ATCC 35704; Eubacterium eligens ATCC 27750; Bacteroides pectinophilus ATCC 43243; Bacteroides thetaiotaomicron VPI-5482; Bacteroides vulgatus ATCC 8482; Bifidobacterium breve DSM 20213; Alistipes onderdonkii DSM 19147; Parabacteroides sp. D13; Subdoligranulum variabile DSM 15176; Clostridium sp. L2-50; Clostridium sp. M62/1; Bacteroides sp. 9_1_42FAA; Acidaminococcus fermentans DSM 20731; Bacteroides sp. D2; Parabacteroides johnsonii DSM 18315; Acidaminococcus intestini sp. D21; Bacteroides rodentium DSM 26882; Alistipes putredinis DSM 17216; Bacteroides stercoris ATCC 43183; Clostridium spiroforme DSM 1552; Ruminococcus torques ATCC 27756; Bifidobacterium catenulatum DSM 16992; Intestinimonas butyriciproducens DSM 26588; Butyrivibrio crossotus DSM 2876; Parabacteroides distasonis ATCC 8503; Akkermansia muciniphila ATCC BAA-835; Desulfovibrio piger ATCC 29098; Coprococcus comes ATCC 27758; Prevotella buccae D17; Alistipes ihumii AP11; Alistipes finegoldii DSM 17242; Alistipes indistinctus YIT 12060; Parabacteroides merdae ATCC 43184; Alistipes shahii WAL 8301; Eubacterium dolichum DSM 3991; Bacteroides sp. 1_1_6; Ethanoligenens harbinense YUAN-3; Bacteroides sp. 2_1_22; Prevotella copri DSM 18205; Prevotella buccalis ATCC 35310; Collinsella stercoris DSM 13279; Bacteroides caccae ATCC 43185; Anaerotruncus colihominis DSM 17241; Clostridium hylemonae DSM 15053; Bacteroides coprophilus DSM 18228; Roseburia inulinivorans DSM 16841; Bacteroides finegoldii DSM 17565; Coprococcus eutactus ATCC 27759; Eubacterium hallii DSM 3353; Blautia wexlerae DSM 19850; Bryantella formatexigens DSM 14469; Bacteroides plebeius DSM 17135; Blautia hydrogenotrophica DSM 10507; Streptococcus thermophilus LMD-9; Adlercreutzia equolifaciens DSM 19450; Slackia exigua ATCC 700122; Olsenella uli DSM 7084; Solobacterium moorei DSM 22971; Ruminococcus obeum ATCC 29174; Ruminococcus bromii ATCC (L2-63); Clostridium methylpentosum DSM 5476; Clostridium leptum DSM 753; Clostridium nexile DSM 1787; Megasphaera sp. DSMZ 102144; Anaerofustis stercorihominis DSM 17244; Alistipes senegalensis JC50; Burkholderiales bacterium 1_1_47; Subdoligranulum sp. 4_3_54A2FAA; Clostridium bartlettii DSM 16795; Eggerthella lenta DSM 2243; Blautia sp. KLE 1732; Eubacterium biforme/Holdemanella biformis DSM 3989; Clostridium sp. VPI C48-50; Bilophila wadsworthia ATCC 49260; Holdemania filiformis DSM 12042; Eubacterium siraeum DSM 15702
30	23	Syncom_reduced				33		Bacteroides intestinalis DSM 17393; Catenibacterium mitsuokai DSM 15897; Clostridium asparagiforme DSM 15981; Faecalibacterium prausnitzii A2-165; Dorea longicatena DSM 13814; Bacteroides xylanisolvens DSMZ 18836; Butyricimonas virosa DSM 23226; Bacteroides fragilis 3_1_12; Bacteroides dorei DSM 17855; Bacteroides eggerthii DSM 20697; Eubacterium rectale ATCC 33656; Anaerostipes caccae DSM 14662; Clostridium bolteae ATCC BAA-613; Eubacterium ventriosum ATCC 27560; Clostridium hathewayi DSM 13479; Oscillibacter sp. KLE 1728; Bacteroides ovatus ATCC 8483; Bacteroides dorei 5_1_36/D4; Bifidobacterium pseudocatenulatum DSM 20438; Collinsella aerofaciens ATCC 25986; Clostridium saccharolyticum WM1; Lactobacillus ruminis ATCC 25644; Ruminococcus lactaris ATCC 29176; Bacteroides sp. 3_1_19; Roseburia intestinalis L1-82; Bacteroides sp. 2_1_16; Ruminococcus gauvreauii DSM 19829; Granulicatella adiacens ATCC 49175; Mitsuokella multacida DSM 20544; Bacteroides uniformis ATCC 8492; Dorea formicigenerans ATCC 27755; Blautia hansenii DSM 20583; Ruminococcus gnavus ATCC 29149; Odoribacter splanchnicus DSM 20712; Bacteroides cellulosilyticus DSM 14838; Clostridium scindens ATCC 35704; Eubacterium eligens ATCC 27750; Bacteroides pectinophilus ATCC 43243; Bacteroides thetaiotaomicron VPI-5482; Bacteroides vulgatus ATCC 8482; Bifidobacterium breve DSM 20213; Alistipes onderdonkii DSM 19147; Parabacteroides sp. D13; Subdoligranulum variabile DSM 15176; Clostridium sp. L2-50; Clostridium sp. M62/1; Bacteroides sp. 9_1_42FAA; Acidaminococcus fermentans DSM 20731; Bacteroides sp. D2; Parabacteroides johnsonii DSM 18315; Acidaminococcus intestini sp. D21; Bacteroides rodentium DSM 26882; Alistipes putredinis DSM 17216; Bacteroides stercoris ATCC 43183; Clostridium spiroforme DSM 1552; Ruminococcus torques ATCC 27756; Bifidobacterium catenulatum DSM 16992; Intestinimonas butyriciproducens DSM 26588; Butyrivibrio crossotus DSM 2876; Parabacteroides distasonis ATCC 8503; Akkermansia muciniphila ATCC BAA-835; Desulfovibrio piger ATCC 29098; Prevotella buccae D17; Alistipes ihumii AP11; Alistipes finegoldii DSM 17242; Alistipes indistinctus YIT 12060; Parabacteroides merdae ATCC 43184; Alistipes shahii WAL 8301; Eubacterium dolichum DSM 3991; Bacteroides sp. 1_1_6; Ethanoligenens harbinense YUAN-3; Bacteroides sp. 2_1_22; Prevotella copri DSM 18205; Prevotella buccalis ATCC 35310; Collinsella stercoris DSM 13279; Bacteroides caccae ATCC 43185; Anaerotruncus colihominis DSM 17241; Clostridium hylemonae DSM 15053; Bacteroides coprophilus DSM 18228; Roseburia inulinivorans DSM 16841; Bacteroides finegoldii DSM 17565; Eubacterium hallii DSM 3353; Blautia wexlerae DSM 19850; Bryantella formatexigens DSM 14469; Bacteroides plebeius DSM 17135; Blautia hydrogenotrophica DSM 10507; Streptococcus thermophilus LMD-9; Adlercreutzia equolifaciens DSM 19450; Slackia exigua ATCC 700122; Olsenella uli DSM 7084; Solobacterium moorei DSM 22971; Ruminococcus obeum ATCC 29174; Ruminococcus bromii ATCC (L2-63); Clostridium methylpentosum DSM 5476; Clostridium leptum DSM 753; Clostridium nexile DSM 1787; Megasphaera sp. DSMZ 102144; Anaerofustis stercorihominis DSM 17244; Alistipes senegalensis JC50; Burkholderiales bacterium 1_1_47; Subdoligranulum sp. 4_3_54A2FAA; Clostridium bartlettii DSM 16795; Eggerthella lenta DSM 2243; Blautia sp. KLE 1732; Eubacterium biforme/Holdemanella biformis DSM 3989; Clostridium sp. VPI C48-50; Bilophila wadsworthia ATCC 49260; Holdemania filiformis DSM 12042; Eubacterium siraeum DSM 15702
31	23	Group_1_fast				93		Bacteroides intestinalis DSM 17393; Catenibacterium mitsuokai DSM 15897; Clostridium asparagiforme DSM 15981; Faecalibacterium prausnitzii A2-165; Dorea longicatena DSM 13814; Bacteroides xylanisolvens DSMZ 18836; Butyricimonas virosa DSM 23226; Bacteroides fragilis 3_1_12; Bacteroides dorei DSM 17855; Bacteroides eggerthii DSM 20697; Eubacterium rectale ATCC 33656; Anaerostipes caccae DSM 14662; Clostridium bolteae ATCC BAA-613; Eubacterium ventriosum ATCC 27560; Clostridium hathewayi DSM 13479; Oscillibacter sp. KLE 1728; Bacteroides ovatus ATCC 8483; Bacteroides dorei 5_1_36/D4; Bifidobacterium pseudocatenulatum DSM 20438; Collinsella aerofaciens ATCC 25986; Clostridium saccharolyticum WM1; Lactobacillus ruminis ATCC 25644; Ruminococcus lactaris ATCC 29176; Bacteroides sp. 3_1_19; Roseburia intestinalis L1-82; Bacteroides sp. 2_1_16; Ruminococcus gauvreauii DSM 19829; Granulicatella adiacens ATCC 49175; Mitsuokella multacida DSM 20544; Bacteroides uniformis ATCC 8492; Dorea formicigenerans ATCC 27755; Blautia hansenii DSM 20583
