dataset_description	dataset_filename	dataset_id	dataset_organisms	dataset_scan	dataset_title	files_count	matchedpeaks	mzerror	score	specs_filename	specs_scan
Food samples processed via Global FoodOmics protocols. 	continuous/clustered_data/MSV000084734_specs_ms.mgf	MSV000084734	food metagenome (NCBITaxon:870726)	20429	GNPS - GFOP - subsets - Qemistree	89	15	0.0005696612665246903	0.8207959903238939	specs_ms.mgf	1
Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000081152_specs_ms.mgf	MSV000081152	Mus musculus (NCBITaxon:10090)	11880	GNPS - SEED - Role of type I and type II natural killer T (NKT) cells in NASH (Non-alcoholic steatohepatitis)	216	15	0.0005696612665246903	0.819764406886846	specs_ms.mgf	1
Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS data.	continuous/clustered_data/MSV000081936_specs_ms.mgf	MSV000081936	food metagenome (NCBITaxon:870726)	5420	GNPS GFOP CMI workshop test data	34	15	0.0005696612665246903	0.819287787078311	specs_ms.mgf	1
This dataset consists of data collected in positive mode profiling over 1600 different animal species bile extracts.	continuous/clustered_data/MSV000085120_specs_ms.mgf	MSV000085120	animalia	360353	GNPS - Bile Extracts from over 1600 animals Positive mode	1094	18	0.001420338733510107	0.8181815506200567	specs_ms.mgf	1
Late preterm infant samples from multiple body sites. Samples were extracted with ethanol and processed on a Bruker Daltonics maXis Impact and C18 RP-UPLC for untargeted metabolomic analysis. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000083462_specs_ms.mgf	MSV000083462	Homo sapiens (NCBITaxon:9606)	109328	GNPS - SEED Grant - Kim - late preterm infant	152	14	0.0025796612665089924	0.8174265996216149	specs_ms.mgf	1
Data was acquired using a Bruker Maxis Impact and C18 RP-UHPLC using positive polarity of LC-MS/MS	continuous/clustered_data/MSV000082262_specs_ms.mgf	MSV000082262	Homo sapiens (NCBITaxon:9606)	18943	GNPS - SEED Grants - Sejal - Fecal	48	16	0.0025796612665089924	0.8169039640422892	specs_ms.mgf	1
Data was acquired using a Bruker Maxis Impact and C18 RP-UHPLC using positive and negative polarity of LC-MS/MS. 	continuous/clustered_data/MSV000082221_specs_ms.mgf	MSV000082221	Homo sapiens (NCBITaxon:9606)	4966	GNPS - SEED Grants - IBD Fecal 	232	15	0.0005696612665246903	0.8166742177474874	specs_ms.mgf	1
LC-MS/MS analysis of gut microbiome cultures from different species of fish.	continuous/clustered_data/MSV000084907_specs_ms.mgf	MSV000084907	fish gut microbiome	829	GNPS_Seaweed_Digestion_Cultures	16	15	0.0025796612665089924	0.8163932926219821	specs_ms.mgf	1
Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000082178_specs_ms.mgf	MSV000082178	Mus musculus (NCBITaxon:10090)	9920	GNPS - SEED Dasgupta - select analysis files	234	15	0.0005696612665246903	0.8157336707688414	specs_ms.mgf	1
Untargeted LC-MS/MS analysis of Kyphosid gut samples (stomach, foregut, midgut, hindgut, and pyloric caeca) collected after a monodiet feeding trial ran in Kona, HI in Feb 2020. Farmed fish were raised on a diet of sargassum, gracilaria, or a mixture of the two seaweeds, and wild fish were also caught and sampled for comparison.	continuous/clustered_data/MSV000087021_specs_ms.mgf	MSV000087021	Kyphosidae (NCBITaxon:30843)	2394	GNPS_Kyphosid gut samples from Kona monodiet trials_Feb 2020	20	15	0.007589661266479197	0.8141558265695947	specs_ms.mgf	1
Metabolite analysis of food samples. Samples were extracted in ethanol. Data were acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS and LC-MS/MS.	continuous/clustered_data/MSV000084890_specs_ms.mgf	MSV000084890	food metagenome (NCBITaxon:870726)	8385	GNPS - UrbanizationGradient_Foods	2	17	0.0005696612665246903	0.8122426665491764	specs_ms.mgf	1
Microbiome and metabolome in opioid and methamphetamine addicted patients	continuous/clustered_data/MSV000083664_specs_ms.mgf	MSV000083664	Homo sapiens (NCBITaxon:9606)	9830	GNPS - SEED - HNRC MIBI HIV fecal samples 04042019	189	14	0.0005696612665246903	0.8064312946362079	specs_ms.mgf	1
Metabolic analysis of non-fermented liquids such as sauces and beverages, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000081676_specs_ms.mgf	MSV000081676	food metagenome (NCBITaxon:870726)	2142	GNPS - GFOP - Food - Plate8_normalLQ	17	14	0.0015696612665010434	0.8060846142963967	specs_ms.mgf	1
Human and rat stool sample Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000080050_specs_ms.mgf	MSV000080050	Homo sapiens (NCBITaxon:9606);Rattus norvegicus (NCBITaxon:10116)	272893	GNPS - Global Stool Dataset - C18-LC-MS/MS Positive polarity	168	15	0.0015696612665010434	0.8060131155298275	specs_ms.mgf	1
Wild type (a/a) agouti mouse dams were randomized to one of three diets (control, mediterranean, western) two weeks prior to pairing with an agouti (Avy/a) sire. Diet exposure continued through pregnancy and lactation. All pups were weaned onto the control diet and then followed for metabolic phenotyping measures to 10 months of age. Comprehensive phenotyping (body composition, CLAMS, blood draw) was completed at 2, 4, and 8 months, with an OGTT at 8 months. Weekly weights were also recorded. The study examines whether prenatal dietary exposure to high fat diets (HFD) and bisphenol a (BPA, those groups will not be tested in this pilot) impacts metabolic programming in offspring as measured by hepatic steatosis, serum hormone levels, and epigenetic changes in hepatic lipid metabolism genes.	continuous/clustered_data/MSV000082731_specs_ms.mgf	MSV000082731	Mus musculus	1420	Metabolomics Workbench ST000670 - GNPS - Exposure to high fat diets and bisphenol	12	15	0.000410338733502158	0.8051520206203113	specs_ms.mgf	1
Metabolic analysis of grain and complex food samples, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000081752_specs_ms.mgf	MSV000081752	food metagenome (NCBITaxon:870726)	1990	GNPS - GFOP - Food - Plate22_grain_complex	8	14	0.0005696612665246903	0.8026078368989147	specs_ms.mgf	1
 	continuous/clustered_data/MSV000079134_specs_ms.mgf	MSV000079134	Homo sapiens (NCBITaxon:9606)	765	GNPS-CF Fecal study	120	15	0.0015696612665010434	0.8019774929092711	specs_ms.mgf	1
Small molecule analysis of Rhino serum extracts from Diceros bicornis, Rhinoceros unicornis, and Ceratotherium simum simum. Standard methanol extraction. Data were acquired using a Bruker Impact Maxis MS and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000086015_specs_ms.mgf	MSV000086015	Rhinoceros (NCBITaxon:9808)	8381	GNPS - SD Zoo - Rhino serum - 2020	21	16	0.0005696612665246903	0.8012249896407894	specs_ms.mgf	1
A collection of metabolomes from organs of germ free and specific pathogen free mice.	continuous/clustered_data/MSV000079949_specs_ms.mgf	MSV000079949	Mus musculus (NCBITaxon:10090)	1228119	GNPS 3D Germ Free and Specific Pathogen Free Mice	176	14	0.0015696612665010434	0.7961403806885556	specs_ms.mgf	1
Fecal samples from the Danone fermentation study. The samples were extracted using SOP for the fecal extraction.	continuous/clustered_data/MSV000081171_specs_ms.mgf	MSV000081171	Homo sapiens (NCBITaxon:9606)	618545	GNPS_Danone_fermentation_study	74	14	0.0005696612665246903	0.7961366236996231	specs_ms.mgf	1
A series of metabolomes from sputum samples grown in media mimicking the CF lung at different pH.	continuous/clustered_data/MSV000079677_specs_ms.mgf	MSV000079677	Pseudomonas aeruginosa group (NCBITaxon:136841)	802591	GNPS WinCF pH Experiments	198	16	0.0005696612665246903	0.796030392860855	specs_ms.mgf	1
16 mice gavaged with novel and standard bile acids (taurococholic, leucocholic, cholic and phenylococholic). 	continuous/clustered_data/MSV000083004_specs_ms.mgf	MSV000083004	Mus musculus (NCBITaxon:10090)	119707	GNPS_Bile_acids_gavage_experiment	184	15	0.007589661266479197	0.7958872583375795	specs_ms.mgf	1
Steatohepatitis progresses to cancer via immunosuppression of HCC 	continuous/clustered_data/MSV000080558_specs_ms.mgf	MSV000080558	Mus musculus (NCBITaxon:10090)	654493	GNPS_Steatohepatitis progresses to cancer via immunosuppression of HCC 	420	14	0.0005696612665246903	0.7958002924008067	specs_ms.mgf	1
Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cellsLC/MS data of intestinal content in murine model. Multiple categories associated with normal and high fat diet, NAFLD, NASH and HCC are included.	continuous/clustered_data/MSV000080918_specs_ms.mgf	MSV000080918	Mus musculus (NCBITaxon:10090)	654451	GNPS_Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells	420	14	0.0005696612665246903	0.7957309571539768	specs_ms.mgf	1
Bile acids from 88 different species of animals collected by Lee Hagey and others	continuous/clustered_data/MSV000083351_specs_ms.mgf	MSV000083351	Chordata (NCBITaxon:7711)	5979	GNPS - TEST Bile Acids	84	16	0.000410338733502158	0.7956476171465506	specs_ms.mgf	1
Metabolite analysis of milk and yogurt samples. Samples were extracted in ethanol using FoodOmics protocols. Data were acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS and LC-MS/MS.	continuous/clustered_data/MSV000082387_specs_ms.mgf	MSV000082387	food fermentation metagenome (NCBITaxon:1154581)	467	GNPS_Sytem wide MS class 2018 Food group 4 milk_yogurt	105	13	0.0015696612665010434	0.7949129410707687	specs_ms.mgf	1
Metabolic analysis of complex food samples, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000082072_specs_ms.mgf	MSV000082072	food metagenome (NCBITaxon:870726)	1498	GNPS - GFOP - Food - plate25_complex_mixed	4	13	0.0015696612665010434	0.7921663789321169	specs_ms.mgf	1
 Maternal and fetal metabolites during MIA (mouse) Streptomycin/control E17.5 	continuous/clustered_data/MSV000082324_specs_ms.mgf	MSV000082324	Mus musculus (NCBITaxon:10090)	100798	GNPS - Maternal and fetal metabolites during MIA (mouse) Streptomycin/control E17.5 	50	14	0.0005696612665246903	0.7911507935502787	specs_ms.mgf	1
Metabolite analysis of plant and animal food samples. Samples were extracted in ethanol using FoodOmics protocols. Data were acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS and LC-MS/MS. 	continuous/clustered_data/MSV000082820_specs_ms.mgf	MSV000082820	food metagenome (NCBITaxon:870726)	854	GNPS - Qiime2 Metabolomics Plugin - Tutorial - Categorical Data	3	14	0.000410338733502158	0.7905938134652406	specs_ms.mgf	1
Fecal samples were collected from Trypanosoma cruzi-infected (strain CL+Luc) and uninfected mice for up to 3 months post-infection.  Samples were extracted with 50% methanol.	continuous/clustered_data/MSV000080976_specs_ms.mgf	MSV000080976	Mus musculus (NCBITaxon:10090);Trypanosoma cruzi (NCBITaxon:5693)	124842	GNPS-Chagas seed grant fecal samples_Apr20 2017	674	15	0.006579661266471248	0.7904017545043243	specs_ms.mgf	1
Staphylococcus aureus infection biomarker study from plasma of infected patients	continuous/clustered_data/MSV000083593_specs_ms.mgf	MSV000083593	Homo sapiens (NCBITaxon:9606)	9088	GNPS - S aureus infection biomarkers	48	15	0.000410338733502158	0.7877518723645467	specs_ms.mgf	1
Data was acquired using a Bruker Maxis Impact  and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000081357_specs_ms.mgf	MSV000081357	Homo sapiens (NCBITaxon:9606)	29669	GNPS - SEED - Disease-associated microbial species, for disease diagnosis and preventionof Type I diabetes - Sejal	58	14	0.0025796612665089924	0.7870616977193537	specs_ms.mgf	1
2nd dataset for the Caltech autism study in murine model (updated, full)	continuous/clustered_data/MSV000082005_specs_ms.mgf	MSV000082005	Mus musculus (NCBITaxon:10090)	290696	GNPS_CalTech_murine_model_autism_study_2nd_set	95	15	0.0005696612665246903	0.7862138172350299	specs_ms.mgf	1
Data set contains LC-MS/MS data acquired in DD mode on 201 extracts of regular polymer swabs used for 16S sequencing. 90% EtOH extractions. The data are for plant eaters who consume more than 30 types of plants vs. those who do not. 	continuous/clustered_data/MSV000080186_specs_ms.mgf	MSV000080186	Homo sapiens (NCBITaxon:9606)	86310	GNPS_AMG_Veg_500_09222016	44	16	0.000410338733502158	0.7860980080768237	specs_ms.mgf	1
Data were collected on an LC-MS/MS system (c18 column) positive mode.	continuous/clustered_data/MSV000083758_specs_ms.mgf	MSV000083758	Homo sapiens (NCBITaxon:9606)	5877	GNPS - ONR - Human-Plasma - QTOF	132	14	0.0005696612665246903	0.7840848561075167	specs_ms.mgf	1
Data was acquired using a Bruker Maxis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000081477_specs_ms.mgf	MSV000081477	Mus musculus (NCBITaxon:10090)	259542	GNPS - SEED Grants - Intestinal FXR agonism protects against colon cancer via secondary metabolites communication	343	15	0.000410338733502158	0.7838857941128127	specs_ms.mgf	1
Metabolic analysis of complex food samples including condiments, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000081682_specs_ms.mgf	MSV000081682	food metagenome (NCBITaxon:870726)	5252	GNPS - GFOP - Food - Plate10_complex_condiments	16	14	0.00459966126652489	0.7790076975402339	specs_ms.mgf	1
Bioreactor bile acids experiment via Broad Institute (Ramnik Xavier lab)	continuous/clustered_data/MSV000082802_specs_ms.mgf	MSV000082802	none	18827	GNPS Bile Acid Bioreactor Samples	75	15	0.0015696612665010434	0.7756655321404368	specs_ms.mgf	1
A collection of Cystic Fibrosis bacterial and fungal strains grown in artificial sputum media.	continuous/clustered_data/MSV000080337_specs_ms.mgf	MSV000080337	Homo sapiens (NCBITaxon:9606)	1174646	GNPS CF Strains ASM Media	20	14	0.0005696612665246903	0.7737552097176077	specs_ms.mgf	1
Extended study. Human fecal and serum samples.  Data was acquired using a Thermo Q-Exactive and C18 RP-UHPLC.	continuous/clustered_data/MSV000084775_specs_ms.mgf	MSV000084775	Homo sapiens (NCBITaxon:9606)	31706	GNPS IBD Severity Part 2 Human Samples	163	16	0.00459966126652489	0.7732786663422638	specs_ms.mgf	1
The impact of CRTAM modulation on the balance between gut microbiota and the mucosal immune system under both homeostatic conditions and during enteric infections	continuous/clustered_data/MSV000083666_specs_ms.mgf	MSV000083666	Mus musculus (NCBITaxon:10090)	5551	GNPS - SEED - Perez-Lopez Mouse Fecal Samples	69	14	0.0005696612665246903	0.7729846522450982	specs_ms.mgf	1
Metabolic analysis of fermented samples, including chocolate, tea and some egg; standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000081659_specs_ms.mgf	MSV000081659	food fermentation metagenome (NCBITaxon:1154581)	355	GNPS - GFOP - Food - Plate6_chocolate_tea_egg	3	13	0.0025796612665089924	0.7711786329358209	specs_ms.mgf	1
Control mouse dataset. Collected by Laura A. Pace April 2015. Aqueous and organic extraction fractions. 	continuous/clustered_data/MSV000079787_specs_ms.mgf	MSV000079787	Mus musculus (NCBITaxon:10090)	187819	GNPS - Mouse dataset	107	14	0.0025796612665089924	0.7707232322296746	specs_ms.mgf	1
LC-MS/MS data were collected for liver, small intestine, and colon samples from mice fed normal chow or protein restricted diet and gavaged with one of three isotopically labeled bile acids.	continuous/clustered_data/MSV000084681_specs_ms.mgf	MSV000084681	Mus musculus (NCBITaxon:10090)	2336	GNPS_Isotopically Labeled Bile Acid Gavage Experiment	73	14	0.0005696612665246903	0.7702057567207922	specs_ms.mgf	1
Metabolic analysis of beverage samples, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000082071_specs_ms.mgf	MSV000082071	food fermentation metagenome (NCBITaxon:1154581)	1536	GNPS - GFOP - Food - Beverage - plate28_beverage	5	13	0.0005696612665246903	0.769074183859788	specs_ms.mgf	1
 Maternal and fetal metabolites during MIA (mouse) E17.5 (2/2)	continuous/clustered_data/MSV000082323_specs_ms.mgf	MSV000082323	Mus musculus (NCBITaxon:10090)	139792	GNPS - Maternal and fetal metabolites during MIA (mouse) E17.5 	49	13	0.0005696612665246903	0.7689717442626757	specs_ms.mgf	1
Paper title: The antimicrobial potential of Streptomyces from insect microbiomes.Author list: Chevrette MG, Carlson CM, Ortega HE, Thomas C, Ananiev GE, Barns KJ, Book AJ, Cagnazzo J, Carlos C, Flanigan W, Grubbs KJ, Horn HA, Hoffmann FM, Klassen JL, Knack JJ, Lewin GR, McDonald BR, Muller L, Melo WGP, Pinto-Tomas AA, Schmitz A, Wendt-Pienkowski E, Wildman S, Zhao M, Zhang F, Bugni TS, Andes DR, Pupo MT, Currie CR.Citation: Nat Commun. 2019 Jan 31;10(1):516. doi: 10.1038/s41467-019-08438-0.PMID:     30705269mzXMLs from Chevrette et al 2019	continuous/clustered_data/MSV000084723_specs_ms.mgf	MSV000084723	Streptomyces (NCBITaxon:1883);Pseudonocardia (NCBITaxon:1847);Gordonia <actinomycete> (NCBITaxon:2053);Kitasatospora (NCBITaxon:2063)	108	GNPS - Chevrette et al 2019 Insect-associated Streptomyces	100	12	0.001420338733510107	0.7688513337413498	specs_ms.mgf	1
Peripheral and portal vein blood collected from GF and SPE mice. The plasma has been extracted according to Dorrestein lab SOP: 100% methanol followed by lyophilization and resuspension in 50:50 methanol:water. Stock and 10x dilution samples are included.	continuous/clustered_data/MSV000083032_specs_ms.mgf	MSV000083032	Mus <mouse, genus> (NCBITaxon:10088)	35774	GNPS_GF_vs_SPF_murine_portal_peripheral_blood_for_RAQ	13	14	0.0005696612665246903	0.7685282106713061	specs_ms.mgf	1
Food samples and supplementary files used for Qemistree application. 	continuous/clustered_data/MSV000085226_specs_ms.mgf	MSV000085226	food metagenome (NCBITaxon:870726)	2808	GNPS Qemistree Food data set with inputs	11	13	0.0005696612665246903	0.7671610435363445	specs_ms.mgf	1
2nd dataset for the Caltech autism study in murine model. 	continuous/clustered_data/MSV000081999_specs_ms.mgf	MSV000081999	Mus musculus (NCBITaxon:10090)	139695	GNPS_CalTech_murine_model_autism_study	64	15	0.0005696612665246903	0.7658700560726435	specs_ms.mgf	1
Qiita ID 13241 - The Association Between Milk Feedings in the Preterm Population, the Microbiome and Risk of Atopic Disease: Microbiome, Atopic Disease, and Prematurity (MAP Study) - Data was acquired using a Bruker Maxis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000086246_specs_ms.mgf	MSV000086246	Homo sapiens (NCBITaxon:9606)	7099	GNPS - CMI - IPH - The Association Between Milk Feedings in the Preterm Population	22	14	0.0015696612665010434	0.7653691013055428	specs_ms.mgf	1
Fecal samples from twins cohort (NOBEL study) to identify non-invasive biomarkers of disease severity in NAFLD.	continuous/clustered_data/MSV000082374_specs_ms.mgf	MSV000082374	Homo sapiens (NCBITaxon:9606)	50331	GNPS_Nobel_twin_study	41	14	0.0005696612665246903	0.7649898452555804	specs_ms.mgf	1
IBD Severity extended study. Human fecal and serum samples. Data was acquired using a Thermo Q-Exactive and C18 RP-UHPLC.	continuous/clustered_data/MSV000084908_specs_ms.mgf	MSV000084908	Homo sapiens (NCBITaxon:9606)	19248	GNPS - IBD 200 Human Fecal and Serum Samples 020520	178	14	0.0035896612665169414	0.7591338665079812	specs_ms.mgf	1
Human dataset, collected 2015-2016, consisting of gastrointestinal mucosal biopsy samples and stool. Files with the aqueous and organic extraction fractions are included. Metabolite extraction was carried out based on a modified protocol as previously published by Elizabeth J. Want et al. in Nature Protocols, 2013, Global Metabolic profiling of animal and human tissues via UPLC-MS. 	continuous/clustered_data/MSV000079788_specs_ms.mgf	MSV000079788	Homo sapiens (NCBITaxon:9606)	2872061	GNPS - Human dataset	24	13	0.009569661266482399	0.7568803583218093	specs_ms.mgf	1
Maternal and fetal metabolites during MIA (mouse) E15.5 (1/2)	continuous/clustered_data/MSV000082322_specs_ms.mgf	MSV000082322	Mus musculus (NCBITaxon:10090)	34967	GNPS - Maternal and fetal metabolites during MIA (mosue) E15.5	18	14	0.000410338733502158	0.7535563634872919	specs_ms.mgf	1
1st dataset for the Caltech autism study in murine model. 	continuous/clustered_data/MSV000082000_specs_ms.mgf	MSV000082000	Mus musculus (NCBITaxon:10090)	232038	GNPS_CalTech_murine_model_autism_study_1st_set	35	13	0.000410338733502158	0.752827213687407	specs_ms.mgf	1
Data set contains LC-MS/MS data acquired in DD mode on 489 extracts of regular polymer swabs used for 16S sequencing. 90% EtOH extractions. The dataset contains data for subjects who reported no antibiotic use within a year vs. those who used them within last month.	continuous/clustered_data/MSV000080187_specs_ms.mgf	MSV000080187	Homo sapiens (NCBITaxon:9606)	190084	GNPS_AMG_500_antibiotics_09222016	47	13	0.0005696612665246903	0.7524384158146022	specs_ms.mgf	1
Data set contains LC-MS/MS data acquired in DD mode on 489 extracts of regular polymer swabs used for 16S sequencing. 90% EtOH extractions 	continuous/clustered_data/MSV000080179_specs_ms.mgf	MSV000080179	Homo sapiens (NCBITaxon:9606)	308902	GNPS_AMG_500_09202016	65	14	0.0005696612665246903	0.749156641301058	specs_ms.mgf	1
