Filepath,Filename,MassIVE,Taxaname_file,Taxa_NCBI,ReDU_Availability,Blank,QC,file_usi
MSV000078889/ccms_peak/plant_extracts/VERNONIA SPORPIOIDES_MS2_1-9_01_1870.mzXML,MSV000078889/VERNONIA SPORPIOIDES_MS2_1-9_01_1870.mzXML,MSV000078889,Vernonia,13753,No,No,No,mzspec:MSV000078889:VERNONIA SPORPIOIDES_MS2_1-9_01_1870
MSV000078931/peak/mzXMLs/140419_Blank_GD8_01_18082.mzXML,MSV000078931/140419_Blank_GD8_01_18082.mzXML,MSV000078931,Blank,Blank,No,Yes,No,mzspec:MSV000078931:140419_Blank_GD8_01_18082
MSV000078931/peak/mzXMLs/140419_Blank_GD8_01_18083.mzXML,MSV000078931/140419_Blank_GD8_01_18083.mzXML,MSV000078931,Blank,Blank,No,Yes,No,mzspec:MSV000078931:140419_Blank_GD8_01_18083
MSV000078931/peak/mzXMLs/140419_psycac-1_100x_Final_MS_RE2_01_18130.mzXML,MSV000078931/140419_psycac-1_100x_Final_MS_RE2_01_18130.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-1_100x_Final_MS_RE2_01_18130
MSV000078931/peak/mzXMLs/140419_psycac-1_100x_Final_MS_RE2_01_18131.mzXML,MSV000078931/140419_psycac-1_100x_Final_MS_RE2_01_18131.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-1_100x_Final_MS_RE2_01_18131
MSV000078931/peak/mzXMLs/140419_psycac-1_100x_RB1_01_18094.mzXML,MSV000078931/140419_psycac-1_100x_RB1_01_18094.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-1_100x_RB1_01_18094
MSV000078931/peak/mzXMLs/140419_psycac-1_100x_RB1_01_18095.mzXML,MSV000078931/140419_psycac-1_100x_RB1_01_18095.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-1_100x_RB1_01_18095
MSV000078931/peak/mzXMLs/140419_psycac-1_100x_RB1_01_18134.mzXML,MSV000078931/140419_psycac-1_100x_RB1_01_18134.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-1_100x_RB1_01_18134
MSV000078931/peak/mzXMLs/140419_psycac-1_100x_RB1_01_18135.mzXML,MSV000078931/140419_psycac-1_100x_RB1_01_18135.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-1_100x_RB1_01_18135
MSV000078931/peak/mzXMLs/140419_psycac-1_100x_RE1_01_18100.mzXML,MSV000078931/140419_psycac-1_100x_RE1_01_18100.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-1_100x_RE1_01_18100
MSV000078931/peak/mzXMLs/140419_psycac-1_10x_RA1_01_18097.mzXML,MSV000078931/140419_psycac-1_10x_RA1_01_18097.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-1_10x_RA1_01_18097
MSV000078931/peak/mzXMLs/140419_psycac-1_10x_RA1_01_18098.mzXML,MSV000078931/140419_psycac-1_10x_RA1_01_18098.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-1_10x_RA1_01_18098
MSV000078931/peak/mzXMLs/140419_psycac-2_100x_RB2_01_18137.mzXML,MSV000078931/140419_psycac-2_100x_RB2_01_18137.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-2_100x_RB2_01_18137
MSV000078931/peak/mzXMLs/140419_psycac-2_100x_RB2_01_18138.mzXML,MSV000078931/140419_psycac-2_100x_RB2_01_18138.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-2_100x_RB2_01_18138
MSV000078931/peak/mzXMLs/140419_psycac-3_100x_RB3_01_18140.mzXML,MSV000078931/140419_psycac-3_100x_RB3_01_18140.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-3_100x_RB3_01_18140
MSV000078931/peak/mzXMLs/140419_psycac-3_100x_RB3_01_18141.mzXML,MSV000078931/140419_psycac-3_100x_RB3_01_18141.mzXML,MSV000078931,Palicourea acuminata,96273,No,No,No,mzspec:MSV000078931:140419_psycac-3_100x_RB3_01_18141
MSV000078931/peak/mzXMLs/140419_psycb1-1_100x_RB4_01_18143.mzXML,MSV000078931/140419_psycb1-1_100x_RB4_01_18143.mzXML,MSV000078931,Psychotria brachiata,3046967,No,No,No,mzspec:MSV000078931:140419_psycb1-1_100x_RB4_01_18143
MSV000078931/peak/mzXMLs/140419_psycb1-1_100x_RB4_01_18144.mzXML,MSV000078931/140419_psycb1-1_100x_RB4_01_18144.mzXML,MSV000078931,Psychotria brachiata,3046967,No,No,No,mzspec:MSV000078931:140419_psycb1-1_100x_RB4_01_18144
MSV000078931/peak/mzXMLs/140419_psycb1-2_100x_RB5_01_18146.mzXML,MSV000078931/140419_psycb1-2_100x_RB5_01_18146.mzXML,MSV000078931,Psychotria brachiata,3046967,No,No,No,mzspec:MSV000078931:140419_psycb1-2_100x_RB5_01_18146
MSV000078931/peak/mzXMLs/140419_psycb1-2_100x_RB5_01_18147.mzXML,MSV000078931/140419_psycb1-2_100x_RB5_01_18147.mzXML,MSV000078931,Psychotria brachiata,3046967,No,No,No,mzspec:MSV000078931:140419_psycb1-2_100x_RB5_01_18147
MSV000078931/peak/mzXMLs/140419_psycb1-3_100x_RB6_01_18149.mzXML,MSV000078931/140419_psycb1-3_100x_RB6_01_18149.mzXML,MSV000078931,Psychotria brachiata,3046967,No,No,No,mzspec:MSV000078931:140419_psycb1-3_100x_RB6_01_18149
MSV000078931/peak/mzXMLs/140419_psycb1-3_100x_RB6_01_18150.mzXML,MSV000078931/140419_psycb1-3_100x_RB6_01_18150.mzXML,MSV000078931,Psychotria brachiata,3046967,No,No,No,mzspec:MSV000078931:140419_psycb1-3_100x_RB6_01_18150
MSV000078931/peak/mzXMLs/140419_psycb2-2_100x_RB7_01_18152.mzXML,MSV000078931/140419_psycb2-2_100x_RB7_01_18152.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycb2-2_100x_RB7_01_18152
MSV000078931/peak/mzXMLs/140419_psycb2-2_100x_RB7_01_18153.mzXML,MSV000078931/140419_psycb2-2_100x_RB7_01_18153.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycb2-2_100x_RB7_01_18153
MSV000078931/peak/mzXMLs/140419_psycb2-2_100x_RB8_01_18088.mzXML,MSV000078931/140419_psycb2-2_100x_RB8_01_18088.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycb2-2_100x_RB8_01_18088
MSV000078931/peak/mzXMLs/140419_psycb2-2_100x_RB8_01_18089.mzXML,MSV000078931/140419_psycb2-2_100x_RB8_01_18089.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycb2-2_100x_RB8_01_18089
MSV000078931/peak/mzXMLs/140419_psycb2-2_10x_RA8_01_18091.mzXML,MSV000078931/140419_psycb2-2_10x_RA8_01_18091.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycb2-2_10x_RA8_01_18091
MSV000078931/peak/mzXMLs/140419_psycb2-2_10x_RA8_01_18092.mzXML,MSV000078931/140419_psycb2-2_10x_RA8_01_18092.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycb2-2_10x_RA8_01_18092
MSV000078931/peak/mzXMLs/140419_psycb2-3_100x_RD1_01_18155.mzXML,MSV000078931/140419_psycb2-3_100x_RD1_01_18155.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycb2-3_100x_RD1_01_18155
MSV000078931/peak/mzXMLs/140419_psycb2-3_100x_RD1_01_18156.mzXML,MSV000078931/140419_psycb2-3_100x_RD1_01_18156.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycb2-3_100x_RD1_01_18156
MSV000078931/peak/mzXMLs/140419_psycb2-3_20x_RC1_01_18162.mzXML,MSV000078931/140419_psycb2-3_20x_RC1_01_18162.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycb2-3_20x_RC1_01_18162
MSV000078931/peak/mzXMLs/140419_psycb2-3_20x_RC1_01_18163.mzXML,MSV000078931/140419_psycb2-3_20x_RC1_01_18163.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycb2-3_20x_RC1_01_18163
MSV000078931/peak/mzXMLs/140419_psycc1-1_100x_GB1_01_18158.mzXML,MSV000078931/140419_psycc1-1_100x_GB1_01_18158.mzXML,MSV000078931,Psychotria capitata,77871,No,No,No,mzspec:MSV000078931:140419_psycc1-1_100x_GB1_01_18158
MSV000078931/peak/mzXMLs/140419_psycc1-1_100x_GB1_01_18159.mzXML,MSV000078931/140419_psycc1-1_100x_GB1_01_18159.mzXML,MSV000078931,Psychotria capitata,77871,No,No,No,mzspec:MSV000078931:140419_psycc1-1_100x_GB1_01_18159
MSV000078931/peak/mzXMLs/140419_psycc1-2_100x_GB2_01_18165.mzXML,MSV000078931/140419_psycc1-2_100x_GB2_01_18165.mzXML,MSV000078931,Psychotria capitata,77871,No,No,No,mzspec:MSV000078931:140419_psycc1-2_100x_GB2_01_18165
MSV000078931/peak/mzXMLs/140419_psycc1-2_100x_GB2_01_18166.mzXML,MSV000078931/140419_psycc1-2_100x_GB2_01_18166.mzXML,MSV000078931,Psychotria capitata,77871,No,No,No,mzspec:MSV000078931:140419_psycc1-2_100x_GB2_01_18166
MSV000078931/peak/mzXMLs/140419_psycc1-2_10x_GA2_01_18205.mzXML,MSV000078931/140419_psycc1-2_10x_GA2_01_18205.mzXML,MSV000078931,Psychotria capitata,77871,No,No,No,mzspec:MSV000078931:140419_psycc1-2_10x_GA2_01_18205
MSV000078931/peak/mzXMLs/140419_psycc1-2_10x_GA2_01_18206.mzXML,MSV000078931/140419_psycc1-2_10x_GA2_01_18206.mzXML,MSV000078931,Psychotria capitata,77871,No,No,No,mzspec:MSV000078931:140419_psycc1-2_10x_GA2_01_18206
MSV000078931/peak/mzXMLs/140419_psycc1-3_100x_GB3_01_18168.mzXML,MSV000078931/140419_psycc1-3_100x_GB3_01_18168.mzXML,MSV000078931,Psychotria capitata,77871,No,No,No,mzspec:MSV000078931:140419_psycc1-3_100x_GB3_01_18168
MSV000078931/peak/mzXMLs/140419_psycc1-3_100x_GB3_01_18169.mzXML,MSV000078931/140419_psycc1-3_100x_GB3_01_18169.mzXML,MSV000078931,Psychotria capitata,77871,No,No,No,mzspec:MSV000078931:140419_psycc1-3_100x_GB3_01_18169
MSV000078931/peak/mzXMLs/140419_psycde-1_100x_GB7_01_18180.mzXML,MSV000078931/140419_psycde-1_100x_GB7_01_18180.mzXML,MSV000078931,Psychotria deflexa,59588,No,No,No,mzspec:MSV000078931:140419_psycde-1_100x_GB7_01_18180
MSV000078931/peak/mzXMLs/140419_psycde-1_100x_GB7_01_18181.mzXML,MSV000078931/140419_psycde-1_100x_GB7_01_18181.mzXML,MSV000078931,Psychotria deflexa,59588,No,No,No,mzspec:MSV000078931:140419_psycde-1_100x_GB7_01_18181
MSV000078931/peak/mzXMLs/140419_psycde-2_100x_GB8_01_18183.mzXML,MSV000078931/140419_psycde-2_100x_GB8_01_18183.mzXML,MSV000078931,Psychotria deflexa,59588,No,No,No,mzspec:MSV000078931:140419_psycde-2_100x_GB8_01_18183
MSV000078931/peak/mzXMLs/140419_psycde-2_100x_GB8_01_18184.mzXML,MSV000078931/140419_psycde-2_100x_GB8_01_18184.mzXML,MSV000078931,Psychotria deflexa,59588,No,No,No,mzspec:MSV000078931:140419_psycde-2_100x_GB8_01_18184
MSV000078931/peak/mzXMLs/140419_psycde-3_100x_GD1_01_18186.mzXML,MSV000078931/140419_psycde-3_100x_GD1_01_18186.mzXML,MSV000078931,Psychotria deflexa,59588,No,No,No,mzspec:MSV000078931:140419_psycde-3_100x_GD1_01_18186
MSV000078931/peak/mzXMLs/140419_psycde-3_100x_GD1_01_18187.mzXML,MSV000078931/140419_psycde-3_100x_GD1_01_18187.mzXML,MSV000078931,Psychotria deflexa,59588,No,No,No,mzspec:MSV000078931:140419_psycde-3_100x_GD1_01_18187
MSV000078931/peak/mzXMLs/140419_psycfu-1_100x_GD3_01_18189.mzXML,MSV000078931/140419_psycfu-1_100x_GD3_01_18189.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,No,No,No,mzspec:MSV000078931:140419_psycfu-1_100x_GD3_01_18189
MSV000078931/peak/mzXMLs/140419_psycfu-1_100x_GD3_01_18190.mzXML,MSV000078931/140419_psycfu-1_100x_GD3_01_18190.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,No,No,No,mzspec:MSV000078931:140419_psycfu-1_100x_GD3_01_18190
MSV000078931/peak/mzXMLs/140419_psycfu-2_100x_GD4_01_18192.mzXML,MSV000078931/140419_psycfu-2_100x_GD4_01_18192.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,No,No,No,mzspec:MSV000078931:140419_psycfu-2_100x_GD4_01_18192
MSV000078931/peak/mzXMLs/140419_psycfu-2_100x_GD4_01_18193.mzXML,MSV000078931/140419_psycfu-2_100x_GD4_01_18193.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,No,No,No,mzspec:MSV000078931:140419_psycfu-2_100x_GD4_01_18193
MSV000078931/peak/mzXMLs/140419_psycfu-3_100x_GD5_01_18195.mzXML,MSV000078931/140419_psycfu-3_100x_GD5_01_18195.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,No,No,No,mzspec:MSV000078931:140419_psycfu-3_100x_GD5_01_18195
MSV000078931/peak/mzXMLs/140419_psycfu-3_100x_GD5_01_18196.mzXML,MSV000078931/140419_psycfu-3_100x_GD5_01_18196.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,No,No,No,mzspec:MSV000078931:140419_psycfu-3_100x_GD5_01_18196
MSV000078931/peak/mzXMLs/140419_psycg1-1_100x_GD6_01_18198.mzXML,MSV000078931/140419_psycg1-1_100x_GD6_01_18198.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycg1-1_100x_GD6_01_18198
MSV000078931/peak/mzXMLs/140419_psycg1-1_100x_GD6_01_18199.mzXML,MSV000078931/140419_psycg1-1_100x_GD6_01_18199.mzXML,MSV000078931,Psychotria gracilenta,1129519,No,No,No,mzspec:MSV000078931:140419_psycg1-1_100x_GD6_01_18199
MSV000078931/peak/mzXMLs/140509_Zero_Injection_RA8_01_19037.mzXML,MSV000078931/140509_Zero_Injection_RA8_01_19037.mzXML,MSV000078931,Blank,Blank,No,Yes,No,mzspec:MSV000078931:140509_Zero_Injection_RA8_01_19037
MSV000078931/peak/mzXMLs/140529_Blank_GD8_01_19793.mzXML,MSV000078931/140529_Blank_GD8_01_19793.mzXML,MSV000078931,Blank,Blank,No,Yes,No,mzspec:MSV000078931:140529_Blank_GD8_01_19793
MSV000078931/peak/mzXMLs/140529_Blank_GD8_01_19796.mzXML,MSV000078931/140529_Blank_GD8_01_19796.mzXML,MSV000078931,Blank,Blank,No,Yes,No,mzspec:MSV000078931:140529_Blank_GD8_01_19796
MSV000078931/peak/mzXMLs/140531_cou2cu-1_100X_RA4_01_20717.mzXML,MSV000078931/140531_cou2cu-1_100X_RA4_01_20717.mzXML,MSV000078931,Coussarea curvigemmia,681427,No,No,No,mzspec:MSV000078931:140531_cou2cu-1_100X_RA4_01_20717
MSV000078931/peak/mzXMLs/140531_cou2cu-1_100X_RA4_01_20718.mzXML,MSV000078931/140531_cou2cu-1_100X_RA4_01_20718.mzXML,MSV000078931,Coussarea curvigemmia,681427,No,No,No,mzspec:MSV000078931:140531_cou2cu-1_100X_RA4_01_20718
MSV000078931/peak/mzXMLs/140531_cou2cu-1_10X_RA4_01_20798.mzXML,MSV000078931/140531_cou2cu-1_10X_RA4_01_20798.mzXML,MSV000078931,Coussarea curvigemmia,681427,No,No,No,mzspec:MSV000078931:140531_cou2cu-1_10X_RA4_01_20798
MSV000078931/peak/mzXMLs/140531_cou2cu-2_100X_RA5_01_20720.mzXML,MSV000078931/140531_cou2cu-2_100X_RA5_01_20720.mzXML,MSV000078931,Coussarea curvigemmia,681427,No,No,No,mzspec:MSV000078931:140531_cou2cu-2_100X_RA5_01_20720
MSV000078931/peak/mzXMLs/140531_cou2cu-2_100X_RA5_01_20721.mzXML,MSV000078931/140531_cou2cu-2_100X_RA5_01_20721.mzXML,MSV000078931,Coussarea curvigemmia,681427,No,No,No,mzspec:MSV000078931:140531_cou2cu-2_100X_RA5_01_20721
"MSV000078945/peak/20131219_E_biumbellata_latex-LF-014-Tot Latex Extrait AcOEt E biumbellata 10 yl a 0,5 mg_ml ds MeOH EMS-EPI v8 opt.mzXML","MSV000078945/20131219_E_biumbellata_latex-LF-014-Tot Latex Extrait AcOEt E biumbellata 10 yl a 0,5 mg_ml ds MeOH EMS-EPI v8 opt.mzXML",MSV000078945,Euphorbia biumbellata,1087756,No,No,No,"mzspec:MSV000078945:20131219_E_biumbellata_latex-LF-014-Tot Latex Extrait AcOEt E biumbellata 10 yl a 0,5 mg_ml ds MeOH EMS-EPI v8 opt"
MSV000079243/ccms_peak/__Data_mzXML/C18p_BPB1_5ul_BB2_01_7560.mzXML,MSV000079243/C18p_BPB1_5ul_BB2_01_7560.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BPB1_5ul_BB2_01_7560
MSV000079243/ccms_peak/__Data_mzXML/C18p_BPB2_5ul_BB3_01_7561.mzXML,MSV000079243/C18p_BPB2_5ul_BB3_01_7561.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BPB2_5ul_BB3_01_7561
MSV000079243/ccms_peak/__Data_mzXML/C18p_BPB3_5ul_BB4_01_7562.mzXML,MSV000079243/C18p_BPB3_5ul_BB4_01_7562.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BPB3_5ul_BB4_01_7562
MSV000079243/ccms_peak/__Data_mzXML/C18p_BPP1_5ul_BA1_01_7547.mzXML,MSV000079243/C18p_BPP1_5ul_BA1_01_7547.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BPP1_5ul_BA1_01_7547
MSV000079243/ccms_peak/__Data_mzXML/C18p_BPP2_5ul_BA2_01_7548.mzXML,MSV000079243/C18p_BPP2_5ul_BA2_01_7548.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BPP2_5ul_BA2_01_7548
MSV000079243/ccms_peak/__Data_mzXML/C18p_BPP3_5ul_BA3_01_7549.mzXML,MSV000079243/C18p_BPP3_5ul_BA3_01_7549.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BPP3_5ul_BA3_01_7549
MSV000079243/ccms_peak/__Data_mzXML/C18p_BRM1_5ul_GC6_01_7518.mzXML,MSV000079243/C18p_BRM1_5ul_GC6_01_7518.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BRM1_5ul_GC6_01_7518
MSV000079243/ccms_peak/__Data_mzXML/C18p_BRM2_5ul_GC7_01_7519.mzXML,MSV000079243/C18p_BRM2_5ul_GC7_01_7519.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BRM2_5ul_GC7_01_7519
MSV000079243/ccms_peak/__Data_mzXML/C18p_BRM3_5ul_GC8_01_7520.mzXML,MSV000079243/C18p_BRM3_5ul_GC8_01_7520.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BRM3_5ul_GC8_01_7520
MSV000079243/ccms_peak/__Data_mzXML/C18p_BRR1_5ul_GD7_01_7531.mzXML,MSV000079243/C18p_BRR1_5ul_GD7_01_7531.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BRR1_5ul_GD7_01_7531
MSV000079243/ccms_peak/__Data_mzXML/C18p_BRR2_5ul_GD8_01_7532.mzXML,MSV000079243/C18p_BRR2_5ul_GD8_01_7532.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BRR2_5ul_GD8_01_7532
MSV000079243/ccms_peak/__Data_mzXML/C18p_BRR3_5ul_GE1_01_7533.mzXML,MSV000079243/C18p_BRR3_5ul_GE1_01_7533.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BRR3_5ul_GE1_01_7533
MSV000079243/ccms_peak/__Data_mzXML/C18p_BWB1_5ul_GB5_01_7502.mzXML,MSV000079243/C18p_BWB1_5ul_GB5_01_7502.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BWB1_5ul_GB5_01_7502
MSV000079243/ccms_peak/__Data_mzXML/C18p_BWB2_5ul_GB6_01_7503.mzXML,MSV000079243/C18p_BWB2_5ul_GB6_01_7503.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BWB2_5ul_GB6_01_7503
MSV000079243/ccms_peak/__Data_mzXML/C18p_BWB3_5ul_GB7_01_7504.mzXML,MSV000079243/C18p_BWB3_5ul_GB7_01_7504.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_BWB3_5ul_GB7_01_7504
MSV000079243/ccms_peak/__Data_mzXML/C18p_CPB1_5ul_RD4_01_7651.mzXML,MSV000079243/C18p_CPB1_5ul_RD4_01_7651.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_CPB1_5ul_RD4_01_7651
MSV000079243/ccms_peak/__Data_mzXML/C18p_CPB2_5ul_RD5_01_7652.mzXML,MSV000079243/C18p_CPB2_5ul_RD5_01_7652.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_CPB2_5ul_RD5_01_7652
MSV000079243/ccms_peak/__Data_mzXML/C18p_CPB3_5ul_RD6_01_7653.mzXML,MSV000079243/C18p_CPB3_5ul_RD6_01_7653.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_CPB3_5ul_RD6_01_7653
MSV000079243/ccms_peak/__Data_mzXML/C18p_CPP1_5ul_RC3_01_7638.mzXML,MSV000079243/C18p_CPP1_5ul_RC3_01_7638.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_CPP1_5ul_RC3_01_7638
MSV000079243/ccms_peak/__Data_mzXML/C18p_CPP2_5ul_RC4_01_7639.mzXML,MSV000079243/C18p_CPP2_5ul_RC4_01_7639.mzXML,MSV000079243,Solanum tuberosum,4113,No,No,No,mzspec:MSV000079243:C18p_CPP2_5ul_RC4_01_7639
